--- [FETCH] 开始同步OpenDigger数据 ---
✅ 成功写入DB: github/NVIDIA/TensorRT-LLM - participants
✅ 成功写入DB: github/BerriAI/litellm - openrank
✅ 成功写入DB: github/BerriAI/litellm - activity
✅ 成功写入DB: github/BerriAI/litellm - stars
✅ 成功写入DB: github/BerriAI/litellm - participants
✅ 成功写入DB: github/h2oai/h2ogpt - openrank
✅ 成功写入DB: github/h2oai/h2ogpt - activity
✅ 成功写入DB: github/h2oai/h2ogpt - stars
✅ 成功写入DB: github/h2oai/h2ogpt - participants
✅ 成功写入DB: github/weaviate/weaviate - openrank
✅ 成功写入DB: github/weaviate/weaviate - activity
✅ 成功写入DB: github/weaviate/weaviate - stars
✅ 成功写入DB: github/weaviate/weaviate - participants
✅ 成功写入DB: github/chroma-core/chroma - openrank
✅ 成功写入DB: github/chroma-core/chroma - activity
✅ 成功写入DB: github/chroma-core/chroma - stars
✅ 成功写入DB: github/chroma-core/chroma - participants
✅ 成功写入DB: github/PaddlePaddle/PaddleNLP - openrank
✅ 成功写入DB: github/PaddlePaddle/PaddleNLP - activity
✅ 成功写入DB: github/PaddlePaddle/PaddleNLP - stars
✅ 成功写入DB: github/PaddlePaddle/PaddleNLP - participants
✅ 成功写入DB: github/bigcode-project/starcoder - openrank
✅ 成功写入DB: github/bigcode-project/starcoder - activity
✅ 成功写入DB: github/bigcode-project/starcoder - stars
✅ 成功写入DB: github/bigcode-project/starcoder - participants
--- [FETCH] 数据同步完成 ---
--- [SUMMARY] 开始生成 LLM 生态汇总（DB版） ---
--- [SUMMARY] 已生成 LLM 生态汇总: /home/ubuntu/openrank/backend/data/llm_summary.json ---
